rule_set_id,readingM_UboundY,readingY_UboundY,readingA_UboundY,readingB_UboundY,readingC_UboundY,readingM_UboundA,readingA_UboundA,readingB_UboundA,readingC_UboundA,readingM_UboundB,readingB_UboundB,readingC_UboundB,highest_level_reading_course,transfer_level,levels_below_transfer,insufficient_data
${rule_set_id},true,,,,,,,,,,,,0,TO,-1,false
${rule_set_id},,true,,,,,,,,,,,0,Y,0,false
${rule_set_id},,,true,,,,,,,,,,0,A,1,false
${rule_set_id},,,,true,,,,,,,,,0,B,2,false
${rule_set_id},,,,,true,,,,,,,,0,C,2,false
${rule_set_id},,,,,,true,,,,,,,1,TO,-1,false
${rule_set_id},,,,,,,true,,,,,,1,A,1,false
${rule_set_id},,,,,,,,true,,,,,1,B,2,false
${rule_set_id},,,,,,,,,true,,,,1,C,3,false
${rule_set_id},,,,,,,,,,true,,,2,TO,-1,false
${rule_set_id},,,,,,,,,,,true,,2,B,2,false
${rule_set_id},,,,,,,,,,,,true,2,C,3,false
${rule_set_id},false,false,false,false,false,,,,,,,,0,D,4,false
${rule_set_id},,,,,,false,false,false,false,,,,0,D,4,false
${rule_set_id},,,,,,,,,,false,false,false,0,D,4,false
